Date,RetailSales,CPI,NFP,IPI
2014-02-16,4914,0.3059999999999832,272,0.9253999999999962
2014-02-23,4914,0.3059999999999832,272,0.9253999999999962
2014-03-02,3870,0.492999999999995,329,0.2261000000000024
2014-03-09,3870,0.492999999999995,329,0.2261000000000024
2014-03-16,3870,0.492999999999995,329,0.2261000000000024
2014-03-23,3870,0.492999999999995,329,0.2261000000000024
2014-03-30,3870,0.492999999999995,329,0.2261000000000024
2014-04-06,265,0.3610000000000184,246,0.299199999999999
2014-04-13,265,0.3610000000000184,246,0.299199999999999
2014-04-20,265,0.3610000000000184,246,0.299199999999999
2014-04-27,265,0.3610000000000184,246,0.299199999999999
2014-05-04,544,0.19700000000003115,304,0.38990000000001146
2014-05-11,544,0.19700000000003115,304,0.38990000000001146
2014-05-18,544,0.19700000000003115,304,0.38990000000001146
2014-05-25,544,0.19700000000003115,304,0.38990000000001146
2014-06-01,281,0.3949999999999818,202,0.02209999999999468
2014-06-08,281,0.3949999999999818,202,0.02209999999999468
2014-06-15,281,0.3949999999999818,202,0.02209999999999468
2014-06-22,281,0.3949999999999818,202,0.02209999999999468
2014-06-29,281,0.3949999999999818,202,0.02209999999999468
2014-07-06,3539,-0.1680000000000348,230,-0.06690000000000396
2014-07-13,3539,-0.1680000000000348,230,-0.06690000000000396
2014-07-20,3539,-0.1680000000000348,230,-0.06690000000000396
2014-07-27,3539,-0.1680000000000348,230,-0.06690000000000396
2014-08-03,-1354,0.2300000000000182,280,0.3079000000000036
2014-08-10,-1354,0.2300000000000182,280,0.3079000000000036
2014-08-17,-1354,0.2300000000000182,280,0.3079000000000036
2014-08-24,-1354,0.2300000000000182,280,0.3079000000000036
2014-08-31,-1354,0.2300000000000182,280,0.3079000000000036
2014-09-07,900,0.01999999999998181,227,0.05689999999999884
2014-09-14,900,0.01999999999998181,227,0.05689999999999884
2014-09-21,900,0.01999999999998181,227,0.05689999999999884
2014-09-28,900,0.01999999999998181,227,0.05689999999999884
2014-10-05,1697,-0.3879999999999768,312,0.823599999999999
2014-10-12,1697,-0.3879999999999768,312,0.823599999999999
2014-10-19,1697,-0.3879999999999768,312,0.823599999999999
2014-10-26,1697,-0.3879999999999768,312,0.823599999999999
2014-11-02,-3511,-0.828000000000003,255,-0.2336999999999989
2014-11-09,-3511,-0.828000000000003,255,-0.2336999999999989
2014-11-16,-3511,-0.828000000000003,255,-0.2336999999999989
2014-11-23,-3511,-0.828000000000003,255,-0.2336999999999989
2014-11-30,-3511,-0.828000000000003,255,-0.2336999999999989
2014-12-07,-3264,-1.3770000000000095,234,-0.7648999999999972
2014-12-14,-3264,-1.3770000000000095,234,-0.7648999999999972
2014-12-21,-3264,-1.3770000000000095,234,-0.7648999999999972
2014-12-28,-3264,-1.3770000000000095,234,-0.7648999999999972
2015-01-04,-1814,0.5760000000000218,238,-0.18269999999999698
2015-01-11,-1814,0.5760000000000218,238,-0.18269999999999698
2015-01-18,-1814,0.5760000000000218,238,-0.18269999999999698
2015-01-25,-1814,0.5760000000000218,238,-0.18269999999999698
2015-02-01,7431,0.5,86,-0.357600000000005
2015-02-08,7431,0.5,86,-0.357600000000005
2015-02-15,7431,0.5,86,-0.357600000000005
2015-02-22,7431,0.5,86,-0.357600000000005
2015-03-01,-623,0.21199999999998909,262,-0.41209999999999525
2015-03-08,-623,0.21199999999998909,262,-0.41209999999999525
2015-03-15,-623,0.21199999999998909,262,-0.41209999999999525
2015-03-22,-623,0.21199999999998909,262,-0.41209999999999525
2015-03-29,-623,0.21199999999998909,262,-0.41209999999999525
2015-04-05,3940,0.6899999999999977,344,-0.37810000000000343
2015-04-12,3940,0.6899999999999977,344,-0.37810000000000343
2015-04-19,3940,0.6899999999999977,344,-0.37810000000000343
2015-04-26,3940,0.6899999999999977,344,-0.37810000000000343
2015-05-03,-99,0.52800000000002,206,-0.2916000000000025
2015-05-10,-99,0.52800000000002,206,-0.2916000000000025
2015-05-17,-99,0.52800000000002,206,-0.2916000000000025
2015-05-24,-99,0.52800000000002,206,-0.2916000000000025
2015-05-31,-99,0.52800000000002,206,-0.2916000000000025
2015-06-07,2791,0.4569999999999652,254,0.5223000000000013
2015-06-14,2791,0.4569999999999652,254,0.5223000000000013
2015-06-21,2791,0.4569999999999652,254,0.5223000000000013
2015-06-28,2791,0.4569999999999652,254,0.5223000000000013
2015-07-05,-59,-0.06499999999999773,157,-0.005899999999996908
2015-07-12,-59,-0.06499999999999773,157,-0.005899999999996908
2015-07-19,-59,-0.06499999999999773,157,-0.005899999999996908
2015-07-26,-59,-0.06499999999999773,157,-0.005899999999996908
2015-08-02,-114,-0.34399999999996567,100,-0.30530000000000257
2015-08-09,-114,-0.34399999999996567,100,-0.30530000000000257
2015-08-16,-114,-0.34399999999996567,100,-0.30530000000000257
2015-08-23,-114,-0.34399999999996567,100,-0.30530000000000257
2015-08-30,-114,-0.34399999999996567,100,-0.30530000000000257
2015-09-06,-1230,0.32499999999998863,321,-0.19930000000000803
2015-09-13,-1230,0.32499999999998863,321,-0.19930000000000803
2015-09-20,-1230,0.32499999999998863,321,-0.19930000000000803
2015-09-27,-1230,0.32499999999998863,321,-0.19930000000000803
2015-10-04,1610,0.36099999999999,272,-0.6079999999999899
2015-10-11,1610,0.36099999999999,272,-0.6079999999999899
2015-10-18,1610,0.36099999999999,272,-0.6079999999999899
2015-10-25,1610,0.36099999999999,272,-0.6079999999999899
2015-11-01,1299,-0.30700000000001637,239,-0.47860000000000014
2015-11-08,1299,-0.30700000000001637,239,-0.47860000000000014
2015-11-15,1299,-0.30700000000001637,239,-0.47860000000000014
2015-11-22,1299,-0.30700000000001637,239,-0.47860000000000014
2015-11-29,1299,-0.30700000000001637,239,-0.47860000000000014
2015-12-06,-3516,0.2600000000000193,126,0.5643000000000029
2015-12-13,-3516,0.2600000000000193,126,0.5643000000000029
2015-12-20,-3516,0.2600000000000193,126,0.5643000000000029
2015-12-27,-3516,0.2600000000000193,126,0.5643000000000029
2016-01-03,1684,-0.2980000000000018,237,-0.2137000000000029
2016-01-10,1684,-0.2980000000000018,237,-0.2137000000000029
2016-01-17,1684,-0.2980000000000018,237,-0.2137000000000029
2016-01-24,1684,-0.2980000000000018,237,-0.2137000000000029
2016-01-31,1684,-0.2980000000000018,237,-0.2137000000000029
2016-02-07,156,0.27000000000001023,225,-0.7421999999999969
2016-02-14,156,0.27000000000001023,225,-0.7421999999999969
2016-02-21,156,0.27000000000001023,225,-0.7421999999999969
2016-02-28,156,0.27000000000001023,225,-0.7421999999999969
2016-03-06,2653,0.8299999999999841,153,0.3433999999999884
2016-03-13,2653,0.8299999999999841,153,0.3433999999999884
2016-03-20,2653,0.8299999999999841,153,0.3433999999999884
2016-03-27,2653,0.8299999999999841,153,0.3433999999999884
2016-04-03,1337,0.45400000000000773,43,-0.1144999999999925
2016-04-10,1337,0.45400000000000773,43,-0.1144999999999925
2016-04-17,1337,0.45400000000000773,43,-0.1144999999999925
2016-04-24,1337,0.45400000000000773,43,-0.1144999999999925
2016-05-01,4504,0.4800000000000182,297,0.3696999999999946
2016-05-08,4504,0.4800000000000182,297,0.3696999999999946
2016-05-15,4504,0.4800000000000182,297,0.3696999999999946
2016-05-22,4504,0.4800000000000182,297,0.3696999999999946
2016-05-29,4504,0.4800000000000182,297,0.3696999999999946
2016-06-05,-745,0.055999999999983174,291,0.09239999999999782
2016-06-12,-745,0.055999999999983174,291,0.09239999999999782
2016-06-19,-745,0.055999999999983174,291,0.09239999999999782
2016-06-26,-745,0.055999999999983174,291,0.09239999999999782
2016-07-03,-745,0.055999999999983174,291,0.09239999999999782
