Date,minor,Adj Close,High,Low,Open,Volume
2016-06-30,^GSPC,2098.860107,2098.939941,2070.0,2073.169922,4622820000.0
2016-07-01,^GSPC,2102.949951,2108.709961,2097.899902,2099.340088,3458890000.0
2016-07-05,^GSPC,2088.550049,2095.050049,2080.860107,2095.050049,3658380000.0
2016-07-06,^GSPC,2099.72998,2100.719971,2074.02002,2084.429932,3909380000.0
2016-07-07,^GSPC,2097.899902,2109.080078,2089.389893,2100.419922,3604550000.0
2016-07-08,^GSPC,2129.899902,2131.709961,2106.969971,2106.969971,3607500000.0
2016-07-11,^GSPC,2137.159912,2143.159912,2131.719971,2131.719971,3253340000.0
2016-07-12,^GSPC,2152.139893,2155.399902,2139.5,2139.5,4097820000.0
2016-07-13,^GSPC,2152.429932,2156.449951,2146.209961,2153.810059,3502320000.0
2016-07-14,^GSPC,2163.75,2168.98999,2157.8798829999996,2157.8798829999996,3465610000.0
2016-07-15,^GSPC,2161.73999,2169.050049,2155.790039,2165.1298829999996,3122600000.0
2016-07-18,^GSPC,2166.889893,2168.350098,2159.6298829999996,2162.040039,3009310000.0
2016-07-19,^GSPC,2163.780029,2164.6298829999996,2159.01001,2163.790039,2968340000.0
2016-07-20,^GSPC,2173.02002,2175.6298829999996,2164.889893,2166.100098,3211860000.0
2016-07-21,^GSPC,2165.169922,2174.560059,2159.75,2172.909912,3438900000.0
2016-07-22,^GSPC,2175.030029,2175.110107,2163.23999,2166.469971,3023280000.0
2016-07-25,^GSPC,2168.47998,2173.709961,2161.949951,2173.709961,3057240000.0
2016-07-26,^GSPC,2169.179932,2173.540039,2160.179932,2168.969971,3442350000.0
2016-07-27,^GSPC,2166.580078,2174.97998,2159.070068,2169.810059,3995500000.0
2016-07-28,^GSPC,2170.060059,2172.850098,2159.73999,2166.050049,3664240000.0
2016-07-29,^GSPC,2173.600098,2177.090088,2163.48999,2168.830078,4038840000.0
2016-08-01,^GSPC,2170.840088,2178.290039,2166.209961,2173.149902,3505990000.0
2016-08-02,^GSPC,2157.030029,2170.199951,2147.580078,2169.939941,3848750000.0
2016-08-03,^GSPC,2163.790039,2163.790039,2152.560059,2156.810059,3786530000.0
2016-08-04,^GSPC,2164.25,2168.189941,2159.070068,2163.51001,3709200000.0
2016-08-05,^GSPC,2182.8701170000004,2182.8701170000004,2168.790039,2168.790039,3663070000.0
2016-08-08,^GSPC,2180.889893,2185.439941,2177.850098,2183.76001,3327550000.0
2016-08-09,^GSPC,2181.73999,2187.659912,2178.610107,2182.23999,3334300000.0
2016-08-10,^GSPC,2175.48999,2183.409912,2172.0,2182.810059,3254950000.0
2016-08-11,^GSPC,2185.790039,2188.449951,2177.969971,2177.969971,3423160000.0
2016-08-12,^GSPC,2184.050049,2186.280029,2179.419922,2183.73999,3000660000.0
2016-08-15,^GSPC,2190.149902,2193.810059,2186.080078,2186.080078,3078530000.0
2016-08-16,^GSPC,2178.149902,2186.23999,2178.139893,2186.23999,3196400000.0
2016-08-17,^GSPC,2182.219971,2183.080078,2168.5,2177.840088,3388910000.0
2016-08-18,^GSPC,2187.02002,2187.030029,2180.459961,2181.899902,3300570000.0
2016-08-19,^GSPC,2183.8701170000004,2185.0,2175.1298829999996,2184.23999,3084800000.0
2016-08-22,^GSPC,2182.639893,2185.149902,2175.959961,2181.580078,2777550000.0
2016-08-23,^GSPC,2186.899902,2193.419922,2186.800049,2187.810059,3041490000.0
2016-08-24,^GSPC,2175.439941,2186.659912,2171.25,2185.090088,3148280000.0
2016-08-25,^GSPC,2172.469971,2179.0,2169.73999,2173.290039,2969310000.0
2016-08-26,^GSPC,2169.040039,2187.939941,2160.389893,2175.100098,3342340000.0
2016-08-29,^GSPC,2180.3798829999996,2183.47998,2170.189941,2170.189941,2654780000.0
2016-08-30,^GSPC,2176.1201170000004,2182.27002,2170.409912,2179.449951,3006800000.0
2016-08-31,^GSPC,2170.949951,2173.790039,2161.350098,2173.560059,3766390000.0
2016-09-01,^GSPC,2170.860107,2173.560059,2157.090088,2171.330078,3392120000.0
2016-09-02,^GSPC,2179.97998,2184.8701170000004,2173.590088,2177.48999,3091120000.0
2016-09-06,^GSPC,2186.47998,2186.570068,2175.100098,2181.610107,3447650000.0
2016-09-07,^GSPC,2186.159912,2187.8701170000004,2179.070068,2185.169922,3319420000.0
2016-09-08,^GSPC,2181.300049,2184.939941,2177.48999,2182.76001,3727840000.0
2016-09-09,^GSPC,2127.810059,2169.080078,2127.810059,2169.080078,4233960000.0
2016-09-12,^GSPC,2159.040039,2163.300049,2119.1201170000004,2120.860107,4010480000.0
2016-09-13,^GSPC,2127.02002,2150.469971,2120.27002,2150.469971,4141670000.0
2016-09-14,^GSPC,2125.77002,2141.330078,2119.899902,2127.860107,3664100000.0
2016-09-15,^GSPC,2147.26001,2151.310059,2122.360107,2125.360107,3373720000.0
2016-09-16,^GSPC,2139.159912,2146.47998,2131.199951,2146.47998,5014360000.0
2016-09-19,^GSPC,2139.1201170000004,2153.610107,2135.909912,2143.98999,3163000000.0
2016-09-20,^GSPC,2139.76001,2150.800049,2139.169922,2145.939941,3140730000.0
2016-09-21,^GSPC,2163.1201170000004,2165.110107,2139.570068,2144.580078,3712090000.0
2016-09-22,^GSPC,2177.179932,2179.98999,2170.939941,2170.939941,3552830000.0
2016-09-23,^GSPC,2164.689941,2173.75,2163.969971,2173.290039,3317190000.0
2016-09-26,^GSPC,2146.100098,2158.540039,2145.040039,2158.540039,3216170000.0
2016-09-27,^GSPC,2159.929932,2161.1298829999996,2141.550049,2146.040039,3437770000.0
2016-09-28,^GSPC,2171.3701170000004,2172.399902,2151.790039,2161.850098,3891460000.0
2016-09-29,^GSPC,2151.1298829999996,2172.669922,2145.199951,2168.899902,4249220000.0
2016-09-30,^GSPC,2168.27002,2175.300049,2156.51001,2156.51001,4173340000.0
2016-10-03,^GSPC,2161.199951,2164.409912,2154.77002,2164.330078,3137550000.0
2016-10-04,^GSPC,2150.48999,2165.459961,2144.01001,2163.3701170000004,3750890000.0
2016-10-05,^GSPC,2159.72998,2163.949951,2155.149902,2155.149902,3906550000.0
2016-10-06,^GSPC,2160.77002,2162.929932,2150.280029,2158.219971,3461550000.0
2016-10-07,^GSPC,2153.73999,2165.860107,2144.850098,2164.189941,3619890000.0
2016-10-10,^GSPC,2163.659912,2169.600098,2160.389893,2160.389893,2916550000.0
2016-10-11,^GSPC,2136.72998,2161.560059,2128.840088,2161.350098,3438270000.0
2016-10-12,^GSPC,2139.179932,2145.360107,2132.77002,2137.669922,2977100000.0
2016-10-13,^GSPC,2132.550049,2138.189941,2114.719971,2130.26001,3580450000.0
2016-10-14,^GSPC,2132.97998,2149.189941,2132.97998,2139.679932,3228150000.0
2016-10-17,^GSPC,2126.5,2135.610107,2124.429932,2132.949951,2830390000.0
2016-10-18,^GSPC,2139.600098,2144.3798829999996,2135.48999,2138.310059,3170000000.0
2016-10-19,^GSPC,2144.290039,2148.439941,2138.149902,2140.810059,3362670000.0
2016-10-20,^GSPC,2141.340088,2147.179932,2133.439941,2142.51001,3337170000.0
2016-10-21,^GSPC,2141.159912,2142.6298829999996,2130.090088,2139.429932,3448850000.0
2016-10-24,^GSPC,2151.330078,2154.790039,2146.909912,2148.5,3357320000.0
2016-10-25,^GSPC,2143.159912,2151.439941,2141.929932,2149.719971,3751340000.0
2016-10-26,^GSPC,2139.429932,2145.72998,2131.590088,2136.969971,3775200000.0
2016-10-27,^GSPC,2133.040039,2147.1298829999996,2132.52002,2144.060059,4204830000.0
2016-10-28,^GSPC,2126.409912,2140.719971,2119.360107,2132.22998,4019510000.0
2016-10-31,^GSPC,2126.149902,2133.25,2125.530029,2129.780029,3922400000.0
2016-11-01,^GSPC,2111.719971,2131.449951,2097.850098,2128.679932,4532160000.0
2016-11-02,^GSPC,2097.939941,2111.76001,2094.0,2109.429932,4248580000.0
2016-11-03,^GSPC,2088.659912,2102.560059,2085.22998,2098.800049,3886740000.0
